Age,Gender,StudyHours,Attendance,AssignmentCompletion,ExamScore,SelfAssessment_Level
19,0,19,64,59,40,Moderate
23,0,19,64,90,66,High
28,0,19,64,67,99,Moderate
29,1,24,98,65,46,Moderate
27,1,24,98,71,83,Moderate
25,1,24,98,61,95,Moderate
20,1,29,89,75,54,Moderate
23,1,29,89,59,42,Moderate
23,1,29,89,96,62,High
19,0,19,92,63,40,Moderate
26,0,19,92,86,94,High
21,1,29,84,57,48,Moderate
28,1,29,84,74,60,Moderate
18,1,25,78,91,58,High
19,1,17,94,74,92,Moderate
27,1,23,98,65,58,Moderate
27,1,23,98,100,93,High
18,1,17,80,68,73,Moderate
24,1,17,80,64,69,Moderate
23,1,17,80,68,87,Moderate
27,1,17,80,64,88,Moderate
29,1,17,80,73,78,Moderate
27,1,17,97,64,87,Moderate
25,1,17,97,70,82,Moderate
27,1,21,83,66,86,Moderate
27,1,21,83,77,96,Moderate
18,1,9,82,55,40,Moderate
25,1,9,82,73,46,Moderate
27,1,10,78,71,68,Moderate
20,1,10,78,85,78,High
19,0,17,68,75,42,Moderate
24,0,17,68,87,64,High
20,0,17,68,88,49,High
22,0,22,70,74,40,Moderate
23,0,15,80,50,56,Moderate
21,0,15,80,87,89,High
23,0,15,80,56,75,Moderate
21,1,12,75,66,71,Moderate
22,1,12,75,55,48,Moderate
28,0,29,78,67,91,Moderate
25,1,19,99,91,56,High
22,0,20,74,93,97,High
24,0,20,74,68,67,Moderate
29,0,20,74,80,65,High
25,1,11,78,59,77,Moderate
27,1,11,78,69,77,Moderate
18,1,11,78,62,90,Moderate
19,1,11,78,80,98,High
21,1,11,78,96,83,High
28,0,17,65,88,72,High
21,0,17,65,79,58,Moderate
26,1,21,62,65,46,Moderate
19,0,13,91,64,63,Moderate
25,0,13,91,73,77,Moderate
21,0,13,91,98,100,High
29,0,13,91,66,90,Moderate
28,0,13,91,85,46,High
19,0,13,91,89,61,High
28,1,22,83,96,75,High
19,0,16,90,90,52,High
22,1,18,66,50,73,Moderate
27,1,18,66,57,60,Moderate
27,0,16,83,52,66,Moderate
26,0,16,83,96,56,High
28,1,31,70,52,71,Moderate
21,1,20,69,87,79,High
18,1,20,69,82,97,High
18,0,14,60,88,52,High
25,0,25,65,62,51,Moderate
28,0,25,65,100,55,High
20,0,21,65,54,54,Moderate
24,0,21,65,96,78,High
28,0,8,99,99,97,High
23,0,8,99,89,54,High
20,0,8,99,59,91,Moderate
28,0,12,72,58,100,Moderate
26,0,12,72,51,42,Moderate
29,0,12,72,61,73,Moderate
21,1,21,65,93,95,High
29,1,24,68,78,61,Moderate
23,0,21,84,79,56,Moderate
21,1,18,94,83,93,High
29,1,18,94,55,51,Moderate
25,1,11,98,77,81,Moderate
25,1,11,98,94,52,High
26,1,11,98,58,87,Moderate
28,1,16,70,94,84,High
22,1,16,70,89,83,High
19,1,16,70,53,86,Moderate
24,0,17,78,84,59,High
26,0,17,78,90,85,High
29,0,17,78,58,85,Moderate
28,0,26,61,69,99,Moderate
23,1,22,86,60,47,Moderate
24,1,22,86,73,55,Moderate
19,1,22,86,100,87,High
24,1,22,86,86,96,High
24,1,9,77,63,76,Moderate
18,1,9,77,61,65,Moderate
28,1,9,77,51,66,Moderate
20,1,22,71,71,52,Moderate
26,1,18,68,93,92,High
18,1,18,68,55,98,Moderate
26,1,16,86,92,94,High
18,1,16,86,100,98,High
29,1,16,86,60,92,Moderate
22,0,24,77,99,66,High
19,0,24,77,82,51,High
26,0,24,77,76,62,Moderate
19,0,24,77,71,62,Moderate
26,0,26,67,91,82,High
18,0,26,67,75,43,Moderate
19,0,26,67,100,63,High
28,1,26,88,98,62,High
19,1,26,88,55,50,Moderate
28,1,26,88,54,54,Moderate
20,0,15,83,50,93,Moderate
22,0,15,83,69,64,Moderate
24,0,22,65,79,42,Moderate
21,1,26,91,95,69,High
23,1,26,91,54,88,Moderate
22,1,26,91,80,89,High
26,0,17,87,66,45,Moderate
24,0,17,87,86,90,High
21,1,19,65,60,46,Moderate
29,1,13,88,84,88,High
24,1,13,88,79,47,Moderate
24,1,13,78,96,50,High
25,1,13,78,62,42,Moderate
21,1,13,78,63,54,Moderate
18,1,13,78,100,71,High
27,1,28,66,79,97,Moderate
20,1,28,66,63,91,Moderate
22,1,28,66,85,41,High
24,1,20,86,89,53,High
28,1,26,75,66,86,Moderate
19,0,22,98,52,75,Moderate
29,0,22,98,58,66,Moderate
24,1,16,73,68,69,Moderate
28,1,29,96,90,59,High
19,1,29,96,72,90,Moderate
20,1,29,96,50,84,Moderate
25,0,20,71,68,81,Moderate
26,0,29,92,96,60,High
24,0,29,92,72,89,Moderate
23,0,25,70,65,75,Moderate
24,0,25,70,75,78,Moderate
23,1,21,77,73,47,Moderate
18,1,21,77,97,50,High
25,0,18,81,65,87,Moderate
23,0,18,81,95,77,High
25,1,8,61,70,73,Moderate
27,1,8,61,92,84,High
18,1,19,69,71,96,Moderate
28,1,19,69,68,84,Moderate
22,1,29,78,65,71,Moderate
29,0,17,67,52,69,Moderate
28,0,17,67,78,70,Moderate
20,1,15,95,64,64,Moderate
22,1,15,95,79,41,Moderate
20,1,15,95,80,53,High
20,1,17,88,95,66,High
26,1,17,88,64,79,Moderate
29,1,17,88,69,46,Moderate
24,1,17,88,53,61,Moderate
20,1,25,63,82,82,High
23,1,25,63,79,55,Moderate
20,1,25,63,55,45,Moderate
19,1,17,86,92,97,High
26,1,17,86,54,95,Moderate
24,1,17,86,88,73,High
28,0,23,98,76,89,Moderate
22,0,23,98,99,84,High
20,0,23,98,59,46,Moderate
28,0,26,70,77,54,Moderate
22,0,26,70,89,92,High
19,0,26,70,73,43,Moderate
20,1,16,97,74,85,Moderate
26,1,16,97,71,99,Moderate
21,1,16,97,74,94,Moderate
21,1,16,97,60,54,Moderate
28,0,18,89,81,68,High
25,0,18,89,99,94,High
29,0,18,89,80,40,High
23,0,18,89,84,58,High
28,0,18,89,63,74,Moderate
27,1,11,91,57,46,Moderate
24,1,11,91,58,43,Moderate
18,1,22,64,70,97,Moderate
27,1,22,64,85,90,High
29,1,22,64,88,74,High
24,1,22,64,55,49,Moderate
27,0,22,81,80,79,High
27,0,22,81,75,54,Moderate
28,0,22,81,52,95,Moderate
19,1,19,67,74,81,Moderate
21,1,12,92,62,89,Moderate
23,1,12,92,86,98,High
29,1,18,79,75,64,Moderate
21,1,15,98,95,100,High
21,1,22,99,64,80,Moderate
25,1,22,99,88,73,High
22,1,22,99,95,82,High
21,1,31,100,64,97,Moderate
28,0,21,82,62,47,Moderate
27,0,22,67,76,100,Moderate
24,1,20,73,58,45,Moderate
23,1,8,77,77,86,Moderate
18,1,8,77,58,88,Moderate
28,1,8,77,77,70,Moderate
19,1,20,72,55,50,Moderate
29,1,20,71,83,62,High
19,1,20,71,83,87,High
18,0,35,99,81,64,High
26,0,19,66,99,96,High
23,0,22,89,68,76,Moderate
21,0,22,89,69,96,Moderate
22,1,20,60,92,48,High
24,1,20,60,84,79,High
24,1,13,84,59,63,Moderate
28,1,13,84,73,58,Moderate
23,1,13,84,61,79,Moderate
26,1,13,84,87,86,High
24,1,13,84,89,84,High
29,1,13,84,99,71,High
25,0,27,97,59,46,Moderate
20,0,27,97,80,62,High
18,0,27,97,54,66,Moderate
23,0,25,72,66,57,Moderate
18,0,25,72,86,76,High
28,0,25,67,61,59,Moderate
21,0,25,67,59,50,Moderate
23,0,25,67,67,99,Moderate
19,0,25,67,95,98,High
28,1,15,86,67,55,Moderate
26,0,28,89,52,68,Moderate
18,0,28,89,90,51,High
23,0,28,89,80,96,High
25,0,28,89,79,87,Moderate
24,0,28,89,74,46,Moderate
21,0,28,89,91,90,High
22,1,12,88,87,55,High
22,1,12,88,63,96,Moderate
20,1,12,88,86,77,High
28,1,24,73,61,59,Moderate
25,0,14,98,60,73,Moderate
26,0,14,98,74,65,Moderate
20,0,14,98,68,65,Moderate
23,0,14,98,72,91,Moderate
27,1,21,78,95,90,High
19,0,17,94,73,59,Moderate
26,0,17,94,63,87,Moderate
29,0,17,94,57,50,Moderate
19,0,20,77,76,59,Moderate
29,0,20,77,53,69,Moderate
21,1,14,66,62,82,Moderate
28,1,14,66,74,83,Moderate
27,1,23,77,59,46,Moderate
19,1,23,77,92,62,High
23,0,14,81,91,49,High
29,0,29,61,93,86,High
21,0,29,61,96,71,High
28,0,29,61,88,84,High
22,1,15,78,89,86,High
26,0,18,91,92,71,High
27,0,18,91,69,100,Moderate
22,0,18,91,93,82,High
